implementacao,linguagem,camada,operacao,chave_bits,iteracoes,media_s,desvio_s,cv_pct,pico_rss_kb,cpu_s,fonte
BouncyCastle,Java,vanilla,Geracao,4096,50,2.186175963,1.246736487,57.0,147304,2.179800,java vanilla bc.txt
BouncyCastle,Java,vanilla,Geracao,4096,100,2.762383922,2.081758800,75.4,147476,2.754500,java vanilla bc.txt
BouncyCastle,Java,vanilla,Cifracao,2048,10,0.000270529,0.000040497,15.0,147524,0.001000,java vanilla bc.txt
BouncyCastle,Java,vanilla,Cifracao,2048,100,0.000133330,0.000069661,52.2,147556,0.000200,java vanilla bc.txt
BouncyCastle,Java,vanilla,Cifracao,2048,1000,0.000083277,0.000020608,24.7,147576,0.000160,java vanilla bc.txt
BouncyCastle,Java,vanilla,Cifracao,2048,10000,0.000077146,0.000125576,162.8,155328,0.000104,java vanilla bc.txt
BouncyCastle,Java,vanilla,Cifracao,4096,10,0.000354812,0.000111633,31.5,155332,0.000000,java vanilla bc.txt
BouncyCastle,Java,vanilla,Cifracao,4096,100,0.000249685,0.000052627,21.1,155336,0.000300,java vanilla bc.txt
BouncyCastle,Java,vanilla,Cifracao,4096,1000,0.000182306,0.000026818,14.7,155336,0.000180,java vanilla bc.txt
BouncyCastle,Java,vanilla,Cifracao,4096,10000,0.000240446,0.000102411,42.6,182536,0.000326,java vanilla bc.txt
BouncyCastle,Java,vanilla,Decifracao,2048,10,0.002281750,0.000338995,14.9,182568,0.005000,java vanilla bc.txt
BouncyCastle,Java,vanilla,Decifracao,2048,100,0.002052768,0.000580509,28.3,182588,0.003700,java vanilla bc.txt
BouncyCastle,Java,vanilla,Decifracao,2048,1000,0.001756051,0.000194380,11.1,182324,0.001850,java vanilla bc.txt
BouncyCastle,Java,vanilla,Decifracao,2048,10000,0.001736494,0.000200150,11.5,168012,0.001745,java vanilla bc.txt
BouncyCastle,Java,vanilla,Decifracao,4096,10,0.011420781,0.001000726,8.8,167868,0.012000,java vanilla bc.txt
BouncyCastle,Java,vanilla,Decifracao,4096,100,0.011274378,0.000838072,7.4,155712,0.011300,java vanilla bc.txt
BouncyCastle,Java,vanilla,Decifracao,4096,1000,0.011340272,0.001631587,14.4,155776,0.011280,java vanilla bc.txt
BouncyCastle,Java,vanilla,Decifracao,4096,10000,0.011354789,0.001119442,9.9,155788,0.011334,java vanilla bc.txt
